id	date	type	header	text
1860-11-10_advert_11	1860-11-10	advert	NO HEADER	;;; Colt's celebrated Five Shooters,;;; --Army, Navy, and Pocket sizes, on hand and for sale by James Walsh,;;; Gun Importer,;;; 7 doors above St. Charles Hotel. oc 22--1m;;; 
1860-11-10_advert_12	1860-11-10	advert	John W, Garlick,Apothecary and Druggist. Market place. Franklin st.,	;;; John W, Garlick,Apothecary and Druggist. Market place. Franklin st.,;;; keeps constantly on hand a large supply of Drugs &amp; Medicines, Paints, Burning Fluid, Kerosine Oil., Paint Brushes, Hair Brushes, Cloth Brushes, Toilet Articles, Perfumery, Fancy Goods, &amp;c., &amp;c.;;; 
1860-11-10_advert_13	1860-11-10	advert	Richmond Dispatch	;;; To Medical students;;; --Dissecting Canes of various styles and prices, for sale very cheap at Edward T. Robinson's,;;; 4th and Franklin sts. oc 15--9m;;; Richmond Dispatch;;; Saturday Morning...nov. 10, 1860.;;; 
1860-11-10_article_14	1860-11-10	article	From South Carolina.	;;; From South Carolina.;;; The Feeling in Charleston — Arming of the Fire Companies — Flag for the Southern Confederacy--Resignation of the Federal Officers — Action in the South Carolina Legislature--Speech of Edmund Ruffin, of Va., &amp;c., &amp;c., &amp;c.;;; 
1860-11-10_article_15	1860-11-10	article	NO HEADER	";;; The warlike preparations in Charleston, S. C., are most active.;;; The fire companies are being armed, and are practicing to infantry drill.;;; On the Palmetto flag being hoisted at the ""Mercury"" office on Wednesday, a large crowd assembled and greeted it with vociferous cheering.;;; An order for 10,000 bullets is being executed at a foundry in Charlotte, S. C. Gov. Gist has sent Gen. Gist on a mission of consultation to the Governors of the Southern States.;;; The resignation of the Federal officers of the port has been noticed.;;; On Wednesday the U. S. District Court assembled, and the Grand Jury being questioned as to whether it had presentments to make, replied as follows:;;; The verdict of the Northern section of the Confederacy, solemnly announced to the country through the ballot-box on yesterday, has swept away the last hope for the permanence, for the stability of the Federal Government of these sovereign States; and the public mind is constrained to lift itself above the consideration of details in the administration of Law and Justice, up to the vast and solemn issues which have been forced upon us. These issues involve the existence of the Government of which this Court is the organ and minister.-- In these extraordinary circumstances, the Grand Jury respectfully decline to proceed with their presentments.;;; They deem this explanation due to the Court and to themselves.  ""U.S. District Court Grand Jury"";;; The Judge of the Court, Hon. A. G. Magrath, then rose in his seat and resigned his office, saying:;;; In the political history of the United States, an event has happened of ominous import to fifteen slaveholding States.;;; The State of which we are citizens has been always understood to have to have deliberately fixed its purpose whenever that event should happen.;;; Feeling an assurance of what will be the action of the State, I consider it my duty, without delay, to prepare to obey its wishes.;;; That preparation is made by the resignation of the office I have held.;;; For the last time I have, as a Judge of the United States, administered the laws of the United States, within the limits of the State of South Carolina.;;; While thus acting in obedience to a sense of duty, I cannot be indifferent to the emotions it must produce.;;; That department of Government which.;;; I believe, has best maintained its integrity and preserved its purity, has been suspended.;;; So far as I am concerned, the Temple of Justice, raised under the Constitution of the United States, is now closed.;;; If it shall be never again opened, I thank God that its doors have been closed before its altar has been desecrated with sacrifices to tyranny.;;; May I not say to you that, in the future which we are about to penetrate, next to the reliance we should place in the goodness of that God who will guide us in the right way, should be our confidence in our State, and our obedience to its laws.;;; We are about to sever our relations with others, because they have broken their covenant with us. Let us not break the covenant we have made with each other.;;; Let us not forget that what the laws of our State require, become our duties.;;; And that he who acts against the wish, or without the command of his State, usurps that sovereign authority which we must maintain inviolate.;;; The address was received with profound silence, and during its delivery many of the spectators were in tears.;;; Jas. Connor, the U. S. District Attorney, then made a brief address also resigning his office.;;; At night, a large crowd assembled and serenaded Judge Magrath, Mr. Connor, and the U. S. officers of the port who had resigned.;;; John Laurens, the naval officer of the port, in a card in the papers declines resigning at this time, believing that his duty to the city forbids it. A Columbia, S. C., Wednesday night, Edmund Ruffin, of Virginia, was serenaded at the Congress House, and addressed a large gathering.;;; A dispatch to the Courier says:;;; He said the question now before the country he had studied for years.;;; It had been the one great idea of his life.;;; The defence of the South, he verily believed, was only to be secured through the lead of South Carolina.;;; As old as he was, he had come here to join them in that lead.;;; He wished Virginia was as ready as South Carolina; but unfortunately she was not; but circumstances being different, it was perhaps better that Virginia and all other border States remain quiescent for a time, to serve as a guard against the North.--The first drop of blood spilled upon the soil of South Carolina, would bring Virginia and every Southern State with them.;;; By remaining in the Union for a time, she would not only prevent coercive legislation in Congress, but any attempt for our subjugation.;;; No argument in favor of resistance was wanted now. As soon as he had performed his duty in Virginia as a citizen, he came as fast as steam could bring him to South Carolina.;;; He was satisfied it anything was to be done, it was to be done here.;;; He had no doubt it would be done, and the sooner the better.;;; Every day delayed was a day lost to the cause.;;; They should encourage and sustain their friends, and they would frighten their enemies.;;; There was no fear of Carolina remaining alone.;;; She would soon be followed by other States.;;; Virginia and half a dozen more were just as good and strong, and able to repel the enemy as if they had the whole of the slaveholding States to act with them.;;; Even if Carolina remained alone-- not that he thought it probable, but supposing so — it was his conviction that she would be able to defend herself against any power brought against her. Multitudes spoke and said the issue was one of courage and honor, or of cowardice, desertion and degradation.;;; The following are the resolutions offered in the South Carolina House of Delegates, the consideration of which was commenced on Thursday:;;; Resolved, That the Committee on the Military of the Senate and House of Representatives, be instructed to meet during the recess, and to prepare a plan for arming the State and for organizing a permanent Military Bureau; and that the said committee be instructed to report by bill to their respective Houses on the first day of the re-assembling of the General Assembly.;;; Resolved, That the Committee of Ways and Means of the House of Representatives be instructed to sit during the recess and prepare a bill for raising supplies necessary to carry into effect the measure recommended by the Military Committee, and to report by bill on the first day of the re-assembling of the General Assembly.;;; Resolved, That the Governor be requested immediately to apply the one hundred thousand dollars appropriated by the last General Assembly, to the purchase of arms.;;; Resolved, That immediately after the election of the Commissioner to the State of Georgia, this General Assembly do take a recess until the third Monday, being the 19th of November, instant, at 7 o'clock.;;; Resolved, As the sense of this General Assembly, that the election of a Black Republican to the Presidency of the United States, will be the triumph and practical application of principles incompatible with the peace and safety of the Southern States.;;; Resolved, That a Commissioner be elected, by joint ballot of the Senate and House of Representatives, whose duty it shall be in the event of Mr. Lincoln's election, to proceed immediately to Milledgeville, the seat of Government of the State of Georgia, whose Legislature will then be in session, to announce to the government of that State that South Carolina, in view of the impending danger, will immediately put herself in a state of efficient military defence and will cordially co-operate with the State of Georgia in measures for the protection of Southern interest, and to express the readiness of this State to co-operate with the State of Georgia in the event of Mr. Lincoln's election in withdrawing at once from the Confederacy, and to recommend the calling of a Convention simultaneously in both States to carry this measure into effect, and to invite the co-operation of all the Southern States in withdrawing from the present Union, and forming a separate Southern Confederacy.;;; The resolution offered in the Senate provides for election of members to a Senate provides for election of members to a State Convention on the 22d instant--the Convention to meet on the 17th of December.;;; This body is to be continued by adjournments from time to time, as may be necessary, unless sooner dissolved by their own authority.;;; It shall cease and be discontinued in two years from the day on which it assembled.;;; The Charleston Mercury publishes the following suggestion for the flag of the ""Southern Confederacy :"";;; The ground entirely blue, with a golden Palmetto in the centre; a golden rattlesnake twining round the stem of the Palmetto, with its rattle sprung, head erect, and tongue protruded.;;; In the background, to the rear of the tree and snake, a golden spread eagle, and a single golden star in the upper right corner, with the words ""Room for More"" on the opposite.;;; "
1860-11-10_article_16	1860-11-10	article	NO HEADER	;;; Among the successful candidates in the examination for U. S. Third Assistant Engineers, was J. S. Tucker, of Norfolk, Va.;;; 
1860-11-10_article_17	1860-11-10	article	The Republican Press on the election.	;;; The Republican Press on the election.;;; The New York Times, with a semi-official tone, tells us what Mr. Lincoln will and what he will not do:;;; There can be no doubt whatever in the mind of any man that Mr. Lincoln regards slavery as a moral, social and political evil, and that it should be dealt with as such by the Federal Government, in every instance where it is called upon to deal with it at all.  On this point there is no room for question — and there need be no misgivings as to his official action.;;; The whole influence of the Executive department of the Government, while in his hands, will be thrown against the extension of slavery into the new Territories of the Union, and the re-opening of the African slave trade.;;; On these points he will make no compromise nor yield one hair's depth to coercion from any quarter or in any shape.;;; He does not accede to the alleged decision of the Supreme Court that the Constitution places slaves upon the footing of other property, and protects them as such wherever its jurisdiction extends, nor will he be, in the least degree, governed or controlled by it in his executive action.;;; He will do all in his power, personally and officially, by the direct exercise of the powers of his office and the indirect influence inseparable from it, to arrest the tendency to make slavery national and perpetual, and to place it in precisely the same position which it held in the early days of the Republic, and in the view of the founders of the Government.;;; On this point, we take it for granted, he will be firm and immovable — so as to put it beyond the hope of any class or any section to change his purpose.;;; Upon all other points his speeches justify us in saying that he will be tolerant and considerate of the rights and interests of the Southern States to the utmost extent which any man can ask. He holds each State to be completely sovereign over its own affairs, and denounces any attempt on the part of the Federal Government to interfere with slavery in the Southern States as unconstitutional and unjust.;;; While he believes that Congress has the power to abolish slavery in the District of Columbia, he is opposed to its exercise unless with the free assent of a majority of the inhabitants and with full compensation to the owners of the slaves.;;; He asserts the right of the South to a Fugitive Slave Law which shall be effective in its operation.;;; He declares his opposition to negro suffrage, and to everything looking towards placing negroes upon a footing of social and political equality with the whites; but he asserts for them a perfect equality of civil and personal rights under the Constitution.;;; He acknowledges the difficulties surrounding the question of slavery; frankly confesses that he sees no way of bringing it to a safe and speedy end; deprecates the agitation which has grown out of the attempt to extend it, to nationalize it and make it perpetual; and declares his belief that by the arrest and defeat of that attempt alone can this agitation be allayed.;;; The New York Courier closes its announcement of the result with these words:;;; Abraham Lincoln is elected, but in his administration the South will find all their rights respected, and will see all the clouds of misrepresentation which have obscured his real character, and that of the party whose standard he bears, roll away from the view.-- Stretching out our hands to the South over this victory, we have no word of taunt to utter for the threats of disunion which were raised for our defeat.;;; Let those threats be buried in oblivion, for through the long vista of this success we see a reign of peace from slavery agitation, established simply by that circumscribing of slavery within its local bounds, and that firm defence of the integrity of national freedom, which this triumph of the Republican party on the 6th of November; 1860, seals now and henceforth.;;; The New York Post in concluding an article on the present prospects of its party says:;;; Our success in the election, by deciding one question, the extension of slavery to the Territories, has deprived our party of one important bond of union, one of the most powerful causes which have attracted to it the interest and favor of the people.;;; Its place can only be supplied by an earnest endeavor to distinguish the Republican administration by an enlightened zeal for the public welfare.;;; 
1860-11-10_article_18	1860-11-10	article	NO HEADER	";;; American killed;;; --Pope's Troops.--Among the Pope's troops at the battle of Castelfidardo, was a volunteer New Yorker, Alfred de Nanteull, who fell after having received two bayonet and four gunshot wounds.;;; The Freeman's Journal publishes an obituary notice of the young ""martyr,"" from which it appears that he was only 22 years of age. Says the Journal:;;; ""Our sorrow for his sad fate is mingled with horror at the treachery to which he and many more of his companions in arms have fallen victims.;;; There was a wide-spread defection on the part of the Italian troops, in the Pontifical service.;;; Com. Bedelievre, in a letter addressed to the 'Esperance,'published at Nantes, states that the 2d regiment of Chasseurs (Italians) not only fired on the foreign levies that went into action with them, but also on the aides-de-camp whom General Pimodan sent to disarm them.;;; The Italian artillerymen (so we are informed by a private letter,) abandoned their guns.;;; All the Pontifical cavalry fled, leaving only eighty of the Guides of Lamoriciere (all Frenchmen,) to cover the retreat of the defeated forces from the field of battle."";;; "
1860-11-10_article_19	1860-11-10	article	The New Senate.	;;; The next Congress.;;; --The following table, copied from a Northern paper, exhibits the probable political complexion of the next Congress:;;; The New Senate.;;; Total number of Senators66;;; Already elected — Republicans24;;; Already elected — Opposition30 6;;; To be elected — Republicans5;;; To be elected — Opposition7 2;;; Opposition majority8;;; The New House.;;; Already elected — Republicans99;;; Already elected — Opposition51;;; To be elected — Republicans9;;; To be elected — Opposition75;;; Total number of Representatives.237;;; Whole number of Opposition129;;; Whole number of Republicans108;;; Opposition majority21;;; 
1860-11-10_article_20	1860-11-10	article	NO HEADER	";;; Miss Davenport's marriage.;;; --The San Francisco correspondent of the New York World, under date of October 17th, writes:;;; The gallant Col. F. W. Lander, of overland wagon-road expedition celebrity, has just been joined in the bands of wedlock with the distinguished and favorite actress, Miss Jane M. Davenport. The Rev. Thomas Star King officiated at the ceremony, which took place in this city on Saturday evening last, October 13th. The happy couple started immediately on an overland expedition to San Jose, to pass the honeymoon at one of the delightful retreats in that valley.;;; It is understood that Mrs. Lander will retire from the stage immediately upon the completion of her present engagements on the Atlantic side.;;; It seems that the attachment between the Colonel and Miss Davenport was a matter of long standing.;;; From the statements of those who seem to be well posted on the subject, it appears that the lady is ""well to do"" in a worldly sense.;;; Her fortune is estimated at from $75,000 to $100,000.;;; "
1860-11-10_article_21	1860-11-10	article	NO HEADER	;;; Lampblack and Oil the cause of Fire.;;; --An English manufacturer states that one of his workmen placed a ladle, which had been recently used for the purpose of measuring linseed oil, upon the top of a cask of lampblack, and a few drops of the oil fell into the cask.;;; One evening, just before closing the works, he discovered a very disagreeable smell, and searched the factory to ascertain the cause, and, to his surprise, found the whole of the black in the cask resemble a large ball of fire, and there is no doubt that before morning it would have burst into a flame, and caused not only the destruction of the stock, but of the entire premises.;;; My plan has been (says the above manufacturer,) since the occurrence, not to keep more black in stock than is required for present use. Wood or canvas painted with lampblack and oil ought to be carefully looked to, at least until well seasoned.;;; 
1860-11-10_article_22	1860-11-10	article	NO HEADER	;;; Photographing his measure.;;; --Among the numerous useful applications of which photography is capable, there is one both novel and amusing which deserves to be recorded.;;; Urgent private affairs detaining a certain prince at Palermo, he could not as usual pay his annual visit to Paris this summer.;;; But the prince's wardrobe required replenishing, and with a new Neapolitan dynasty came new fashions; the prince was in a state of sartorial despair, till the happy thought occurred to him to be photographed, on the scale of one inch to the foot, and to send the proof to an eminent Parisian tailleur. The artist took his measures accordingly; the suit was duly made and forwarded to Palermo.;;; The Prince, on receipt of his garments, sent a letter to the tailor, in which he proclaims the fit to be admirable.;;; He is delighted, and so is the tailor.;;; The prince sent another photograph, representing him in his new suit.;;; It is easy to see that it is a perfect fit.;;; 
1860-11-10_article_23	1860-11-10	article	NO HEADER	;;; Fresh strawberries in November.;;; -- An enterprising nurseryman in Cincinnati pushed his vines to a second crop, and succeeded, before frost interfered, in producing several quarts of fine fresh strawberries, which were served out to the astonished guests at one of the hotels.;;; 
1860-11-10_article_24	1860-11-10	article	NO HEADER	;;; Sentence for election Fraud.;;; --In Philadelphia on Tuesday last, Wm. Byerly, for defeating a Congressman in that city by forging returns against him, was sentenced.;;; The Ledger says:;;; Mr. Byerly was directed to stand up to receive his sentence.;;; Judge Thompson remarked he was happy to say that this was the first time an offence of this character had ever been sustained against a party in this country.;;; In a community like this, and under institutions like ours, which depend upon the honesty and integrity of those who are selected to perform any high and important duty, there was no offence which more directly struck at the perpetuity of our institutions than that which had been laid to the defendant's charge.;;; His act could not be justified.;;; It had been alleged that it could not be possible for the defendant to do this thing, as he was unable to read and write with facility, and that, therefore, he had been the subject of a conspiracy.;;; The jury had decided otherwise.;;; They had regarded the defendant in the light of one who had undertaken to perform a high public duty, and had then committed the fraud.;;; There could be no doubt but that there were others engaged in this transaction who were more intelligent than the defendant, by reason of their superior education, but whether they were more skilled in matters relating to elections might be questioned.;;; Whoever they might be it did not affect the greatness of the offence laid to the defendant, who was the active agent.;;; The jury who tried the case was of the prisoner's own selection, through able and watchful counsel, and after the full exercise of the right to challenge.;;; With the verdict as rendered by this jury the court had no reason to complain.;;; There was no reason to believe but that the jury were actuated by conscientious motives, and with a desire to do their duty.;;; The sentence was then imposed.;;; It was a fine of $300, and an imprisonment of two years and six months in the County Prison.;;; 
1860-11-10_dispatch_25	1860-11-10	dispatch	NO HEADER	;;; An Extra Pony Express.;;; --A dispatch from Fort Kearney, dated the 7th inst., says:;;; An extra Pony Express, with the election returns for California, left here for Carson Valley at 1 o'clock to-day.;;; It took, also, a considerable number of private dispatches.--Both rider and horse were tastefully decorated with ribbons, &amp;c., and departed amid the cheering of a large and enthusiastic gathering.;;; This run is expected to be quicker than any ever yet made between here and the outer station of the California telegraph lines.;;; The ponies leaving St. Joseph on Thursday, 8th, and Sunday,  11th, are also expected to make double quick time, calling here for the latest telegraphic dates.;;; 
1860-11-10_dispatch_26	1860-11-10	dispatch	NO HEADER	";;; How Lincoln took his election.;;; --A dispatch from Springfield, Ill., to the New York Times, says  Lincoln spent most of election night in the telegraph office.;;; On Wednesday evening he was "" captured"" by about 300 of his friends.;;; Mr. Lincoln finally made the following speech, his first public address since his election:""The representation of Coles and Douglas counties is elected on the Republican side; We expected it would be so, and so it is pretty generally these times."" [Applause and laughter.] Mr. Lincoln finally, in a jocular way, took advantage of his position as Chairman to say that it was customary for the presiding officer to call some distinguished member to the chair.;;; He accordingly called Mr. Kent to take his place, and retired through a side door, in spite of vociferous calls for him to speak.;;; "
1860-11-10_article_27	1860-11-10	article	NO HEADER	;;; Woman Throws her child from a Railway Train and Jumps after it.;;; --On Wednesday, a woman with an infant got into a car of the Dedham (Mass.) Branch Railroad, at Dedham, for Roxbury, and when about 27 miles from Dedham she suddenly threw her child out of an open window, and sprang after it herself before she could be seized by the passengers.;;; The train was going at that time at the rate of about 20 miles an hour, and every one expected that both the child and its mother had been instantly killed.;;; The conductor put back his train, when, to the great surprise of all, it was found that neither the woman nor child was seriously injured, though both were somewhat bruised.;;; They were taken on board again, and conveyed to Roxbury.;;; It is judged from the woman's subsequent actions that she is insane.;;; 
1860-11-10_article_28	1860-11-10	article	NO HEADER	;;; Republics not Ungrateful.;;; --The year in which Mount Vernon Became the property of the Union by the efforts of American women, consummated the purchase of the Grill by the school children of Switzerland, at a cost of $11,000. The Grill, near Aldorf, and the birthplace of Tell, is the spot where, in the fourteenth century, three brave men entered into a secret combination to rid the country of its oppressors — a movement which soon extended to the other cantons.;;; The sale of this place, dear to every Swiss, was concluded on the one hundredth birthday of Schiller.;;; 
1860-11-10_article_29	1860-11-10	article	NO HEADER	;;; Post-Office affairs;;; --Appointment's in Virginia.--William P. Jones postmaster at Northwest River Bridge, Norfolk county, Va., vice Thomas C. Holt, resigned.;;; Simon H. Bach, postmaster at Roaring Run, Botetourt county vice James J. Painter, resigned.;;; Jacob A. Lantz, postmaster at Mole Hill, Ritchie county, Va., vice Rachel Reed, resigned.;;; Francis R. Elliott, postmaster at Wayland, Scott county, Va., vice C. C. Elliott, resigned.;;; Mary E. McNeil, postmaster at Perryville, McDowell county, Va., vice William R. Lee, resigned.--John F. Martin, postmaster at Irisburg, Henry county, Va., vice James Semple, resigned.;;; 
1860-11-10_article_30	1860-11-10	article	NO HEADER	";;; The defeat of Burlingame.;;; --""Our game is Burlingame,"" is the Union cry at this time in Boston.;;; Of the defeat of this gentleman, the Advertiser says: ""In the hour of general triumph the Republicans experience a piece of pretty severe discipline in the defeat of Mr. Burlingame.;;; He loses his election, in a very heavy poll, for the want of 257 votes.;;; His own city of Cambridge, which gave him 243 plurality two years ago, turned yesterday against him the cold shoulder of 18 plurality for Mr. Appleton.;;; But for this he would have been elected.;;; Thus is a prophet not without honor save in his own home."";;; "
1860-11-10_article_31	1860-11-10	article	NO HEADER	";;; Shameful outrage.;;; --When Senator Douglas alighted from the carriage to ascend the steps of the Exchange Hotel, at Montgomery, Ala., there were three rotten eggs thrown.--The first egg struck Col. Seibles, editor of the ""Confederation,"" the second egg struck Col. Elmore, and the third egg struck the hat of Judge Douglas, bursted and discharged its contents in the face of his wife, who stood immediately on his left.;;; The papers there denounce the outrage in severe terms.;;; "
1860-11-10_article_32	1860-11-10	article	NO HEADER	;;; Census of Wheeling, Va.;;; --The census returns of the city of Wheeling and Ohio county, Va., give the following results:;;; The population of the county in free is 5,672; slave, 99.;;; Total, 5,741.;;; The city has a free population of 14,283; slaves, 31.;;; Total, 14,314.;;; South Wheeling has a population of 2,640. --Fulton, 312.;;; The population of the whole county and city is 22,595 free and 100 slaves, making a total of 22,695.;;; 
